id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
4139420190,20150512T000000,2.48E+06,4,5,5310,16909,1,0,4,3,12,3090,2220,1992,0,98006,47.5515,-122.113,5220,15701
2424059174,20150508T000000,2.00E+06,4,3.25,5640,35006,2,0,2,3,11,4900,740,2015,0,98006,47.5491,-122.104,4920,35033
6065300370,20150506T000000,4.21E+06,5,6,7440,21540,2,0,0,3,12,5550,1890,2003,0,98006,47.5692,-122.189,4740,19329
2141310540,20150506T000000,975000,5,2.5,3020,9648,1,0,2,4,9,1980,1040,1977,0,98006,47.5586,-122.134,2890,12598
1777600450,20150505T000000,730000,5,3,2500,11779,1,0,0,4,8,1550,950,1971,0,98006,47.5696,-122.127,2580,12055
6072300800,20150505T000000,595000,4,1.75,2510,8989,1,0,0,4,8,1680,830,1964,0,98006,47.5569,-122.172,2510,8931
4139660430,20150505T000000,1.20E+06,5,3,3640,28531,2,0,0,3,10,3640,0,1996,0,98006,47.5502,-122.13,3330,17186
6705120100,20150504T000000,460000,3,2.25,1453,2225,2,0,0,4,8,1453,0,1986,0,98006,47.5429,-122.188,1860,2526
6065300840,20150501T000000,2.85E+06,4,4,5040,17208,1,0,0,5,10,2870,2170,1976,0,98006,47.5701,-122.188,4050,18647
2206900065,20150501T000000,380000,3,1.5,1430,11173,1,0,0,1,7,1430,0,1955,0,98006,47.5734,-122.153,1520,11659
2600110250,20150430T000000,840000,4,2.5,2170,9796,1,0,0,4,8,1650,520,1980,0,98006,47.5505,-122.152,2350,9796
6071400710,20150429T000000,648000,3,1.75,1610,10229,1,0,0,5,8,1610,0,1961,0,98006,47.553,-122.174,2270,8800
9346950050,20150429T000000,625000,3,2.5,2120,10021,1,0,0,4,8,1230,890,1976,0,98006,47.5621,-122.135,2690,10183
2024059058,20150428T000000,978000,4,2.75,2890,7821,2,0,0,3,9,2890,0,2014,0,98006,47.554,-122.189,2890,10108
6072800170,20150428T000000,2.50E+06,4,4,3330,24354,1,0,0,4,10,3330,0,1961,0,98006,47.5708,-122.192,3880,25493
3447000090,20150428T000000,653000,3,2.25,2800,17300,1,0,0,4,8,1420,1380,1971,0,98006,47.5716,-122.128,2140,12650
4128500380,20150427T000000,1.20E+06,4,2.5,4280,12796,2,0,0,3,11,3400,880,1999,0,98006,47.5588,-122.124,3520,9593
7805460760,20150427T000000,885000,3,2.5,2880,11443,2,0,0,4,9,2880,0,1986,0,98006,47.5633,-122.111,2840,12530
1777500160,20150425T000000,718000,5,3,3070,9804,1,0,0,4,9,1740,1330,1968,0,98006,47.5702,-122.128,2550,9689
2141300080,20150424T000000,707000,5,2.5,3050,13212,1,0,0,4,8,1590,1460,1975,0,98006,47.5596,-122.142,2550,10826
6072650250,20150424T000000,555000,4,2.25,2220,8125,1,0,0,4,8,1450,770,1965,0,98006,47.5429,-122.177,1980,8700
2597520790,20150423T000000,765000,3,2.5,2310,11993,2,0,0,3,9,2310,0,1988,0,98006,47.5438,-122.139,2830,10031
6308000010,20150423T000000,585000,3,2.5,2290,5089,2,0,0,3,9,2290,0,2001,0,98006,47.5443,-122.172,2290,7984
3447000100,20150422T000000,645000,4,2.5,2250,10696,2,0,0,3,8,2250,0,1996,0,98006,47.5715,-122.128,2340,13286
2206700215,20150422T000000,550000,4,2,2070,9822,1,0,0,5,7,2070,0,1955,0,98006,47.566,-122.14,1300,9572
1324059104,20150421T000000,691100,3,2.75,2360,16117,1,0,0,4,8,1710,650,1983,0,98006,47.5698,-122.121,2120,16117
9552700550,20150421T000000,750000,3,2.5,2360,12987,2,0,0,3,8,2360,0,1983,0,98006,47.5471,-122.149,2480,11665
713500020,20150421T000000,1.39E+06,4,4.5,4490,24767,2,0,2,3,11,3800,690,1998,0,98006,47.5544,-122.147,3370,32700
6067900640,20150420T000000,391000,3,2,1490,9000,1,0,0,4,8,1490,0,1977,0,98006,47.5455,-122.184,2190,9000
2024059110,20150420T000000,925000,3,3.25,4110,20900,2,0,0,3,9,2630,1480,2002,0,98006,47.5506,-122.187,2640,14700
4139900180,20150420T000000,2.34E+06,4,2.5,4500,35200,1,0,0,3,13,4500,0,1988,0,98006,47.5477,-122.126,4760,35200
4139430310,20150419T000000,938000,3,2.5,3090,10940,2,0,2,3,10,3090,0,1992,0,98006,47.5492,-122.119,3410,12157
6072600200,20150417T000000,470500,5,2.5,2500,9248,1,0,0,3,8,1300,1200,1966,0,98006,47.5415,-122.18,2090,8568
4134300175,20150417T000000,1.85E+06,4,2.5,4120,14866,1,1,4,3,8,2070,2050,1965,0,98006,47.5571,-122.193,3620,19729
6072300110,20150416T000000,550000,3,1.75,1940,8376,1,0,0,4,8,1290,650,1963,0,98006,47.5586,-122.173,2400,8674
2141310020,20150416T000000,779000,5,2.25,2830,7738,2,0,0,4,8,2830,0,1977,0,98006,47.5582,-122.136,2300,9840
6071900130,20150415T000000,550000,3,1.75,1670,10798,1,0,0,4,8,1670,0,1962,0,98006,47.549,-122.17,2290,10798
2600010070,20150414T000000,998000,3,2.25,3370,11757,2,0,2,4,9,3370,0,1980,0,98006,47.5573,-122.16,2690,10500
7856620910,20150414T000000,627500,4,2.5,2540,11500,1,0,0,4,8,1640,900,1979,0,98006,47.5609,-122.15,2820,9800
6073200020,20150413T000000,485000,3,1,1020,9835,1,0,0,5,7,1020,0,1955,0,98006,47.5728,-122.179,1210,9622
7856700060,20150413T000000,893880,6,2.5,2820,8600,1,0,0,5,8,1430,1390,1967,0,98006,47.565,-122.144,2070,8900
2141320230,20150410T000000,710000,4,2.25,2000,8068,2,0,0,5,8,2000,0,1976,0,98006,47.5584,-122.137,2080,7837
2600140070,20150409T000000,1.03E+06,4,3,3540,10202,2,0,0,3,8,2720,820,1988,0,98006,47.5471,-122.155,2780,10714
4139400060,20150409T000000,845000,4,2.5,2970,9072,2,0,0,3,10,2970,0,1991,0,98006,47.562,-122.114,2740,8729
3303850290,20150409T000000,1.40E+06,5,4,4700,22326,2,0,0,3,11,4700,0,2002,0,98006,47.5417,-122.111,4730,27110
6071200195,20150408T000000,621000,4,2.5,2030,9905,1,0,0,4,8,2030,0,1959,0,98006,47.5518,-122.184,2130,10008
6072100790,20150408T000000,648000,5,2.25,2410,12000,2,0,0,4,8,2410,0,1973,0,98006,47.5434,-122.175,2080,12000
3864000120,20150408T000000,1.18E+06,4,3.25,3780,10099,1,0,1,3,11,2240,1540,2006,0,98006,47.5508,-122.192,3120,10669
9293000170,20150408T000000,800000,5,2.5,3410,4726,2,0,0,3,9,3410,0,2007,0,98006,47.5459,-122.184,2810,5129
8965460090,20150407T000000,920000,4,3,3130,12381,2,0,0,3,9,3130,0,1995,0,98006,47.5599,-122.118,3250,10049
1854750030,20150407T000000,1.16E+06,3,3.5,3620,8072,2,0,0,3,10,2920,700,1999,0,98006,47.5646,-122.127,3680,9624
6072760390,20150407T000000,547500,4,2.5,2610,7254,1,0,0,2,8,1610,1000,1975,0,98006,47.5618,-122.176,2250,7407
2201500490,20150406T000000,435000,3,1,950,10080,1,0,0,4,7,950,0,1954,0,98006,47.572,-122.139,1060,10000
6072650290,20150406T000000,560000,3,1.75,2340,12443,1.5,0,0,4,8,2340,0,1965,0,98006,47.5432,-122.177,1970,9600
6308000020,20150403T000000,590000,3,2.5,2290,4203,2,0,0,3,9,2290,0,2001,0,98006,47.5441,-122.172,2290,5089
2205700180,20150403T000000,545000,3,2,1610,8069,1,0,0,5,7,1090,520,1955,0,98006,47.5754,-122.15,1510,8803
3655500030,20150403T000000,719000,3,3.5,2540,10578,2,0,1,3,9,2010,530,2014,0,98006,47.547,-122.192,3240,9831
7855801670,20150401T000000,2.25E+06,4,3.25,5180,19850,2,0,3,3,12,3540,1640,2006,0,98006,47.562,-122.162,3160,9750
3447000030,20150401T000000,510000,3,2,1410,11995,1,0,0,4,8,1410,0,1965,0,98006,47.5718,-122.127,2690,12650
4139910160,20150401T000000,1.60E+06,5,3.25,4320,32840,2,0,0,3,12,4320,0,1990,0,98006,47.5461,-122.122,4410,33210
6705120280,20150331T000000,428000,2,2.5,1414,1960,2,0,0,3,8,1414,0,1986,0,98006,47.5423,-122.189,1414,2511
4139430250,20150330T000000,1.44E+06,4,3.5,4970,16582,2,0,3,4,11,3930,1040,1992,0,98006,47.5496,-122.12,3580,13335
9346910500,20150330T000000,700000,3,2.5,2060,10650,1,0,0,5,8,1050,1010,1976,0,98006,47.5627,-122.137,2690,8850
9286000150,20150330T000000,1.13E+06,6,4,5330,18116,2,0,0,3,11,3950,1380,2000,0,98006,47.5503,-122.137,4590,16900
7855600080,20150330T000000,750000,3,1.75,2770,15232,1,0,0,3,8,1570,1200,1976,0,98006,47.5706,-122.16,2340,11400
3343301393,20150330T000000,789888,5,3.5,3300,7860,2,0,0,3,9,2410,890,2001,0,98006,47.5463,-122.192,2540,9920
6071800100,20150327T000000,815000,6,3,2860,17853,1,0,0,3,8,1430,1430,1962,2015,98006,47.546,-122.175,1920,13452
6071800480,20150327T000000,271950,3,1.5,1220,8400,1,0,0,4,7,1220,0,1962,0,98006,47.5467,-122.173,2110,9119
8965500320,20150326T000000,780000,4,2.25,2260,16188,1,0,0,3,10,2260,0,1984,0,98006,47.5637,-122.112,2840,10158
2600010220,20150326T000000,1.25E+06,4,2.5,4040,11350,2,0,2,4,10,3690,350,1984,0,98006,47.559,-122.162,3770,12382
4139460200,20150325T000000,905000,4,2.5,3330,9557,2,0,0,3,10,3330,0,1995,0,98006,47.5526,-122.102,3360,9755
6067910130,20150325T000000,526000,3,2.25,2000,18099,1,0,0,4,8,1250,750,1978,0,98006,47.5443,-122.18,2060,12000
1687900170,20150325T000000,648000,4,2.25,2170,8240,2,0,1,4,8,2170,0,1983,0,98006,47.5634,-122.128,2600,9898
7856601110,20150325T000000,945800,4,2.75,3360,9100,1,0,0,4,8,1760,1600,1973,0,98006,47.5641,-122.149,2620,8925
1836980160,20150324T000000,807100,4,2.5,2680,4499,2,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500
2592201350,20150324T000000,823000,3,2.5,2560,9825,2,0,0,4,9,2560,0,1988,0,98006,47.5497,-122.145,2710,12034
7856400300,20150322T000000,1.51E+06,2,2.5,3180,9400,2,0,4,5,10,2610,570,1985,0,98006,47.5617,-122.158,3760,9450
7855800910,20150321T000000,871000,4,2.5,2150,8536,1,0,3,4,8,1400,750,1967,0,98006,47.5663,-122.163,2800,9500
6072760360,20150321T000000,665000,4,2.25,2650,8149,1,0,0,4,8,1610,1040,1975,0,98006,47.5624,-122.176,2290,8019
7855300200,20150319T000000,1.24E+06,4,2.75,2680,8500,1,0,4,4,9,1480,1200,1962,0,98006,47.5634,-122.156,2940,8650
2597530070,20150318T000000,850000,3,2.5,2940,10809,2,0,0,3,10,2940,0,1992,0,98006,47.5418,-122.136,3090,10348
1424059130,20150318T000000,247500,3,0.75,1300,72309,1,0,0,3,6,680,620,1950,1987,98006,47.567,-122.124,3080,8395
7856560320,20150317T000000,962000,4,2.25,3320,20100,1,0,0,4,8,1810,1510,1981,0,98006,47.5566,-122.153,2450,9821
8965500020,20150317T000000,780000,3,2.5,2110,9773,1,0,0,3,9,2110,0,1986,0,98006,47.5628,-122.115,2560,11787
6067910030,20150316T000000,664000,4,2.75,2510,11880,1,0,0,5,8,1630,880,1978,0,98006,47.5427,-122.181,2390,11211
2597460090,20150316T000000,1.20E+06,3,2.25,3070,9645,2,0,0,3,10,2110,960,1987,0,98006,47.5522,-122.144,3130,9450
9552701000,20150316T000000,818000,4,2.25,2460,8001,2,0,0,4,8,2460,0,1984,0,98006,47.548,-122.154,2460,9126
7805450040,20150316T000000,915557,5,3.25,3740,11536,2,0,0,4,9,2540,1200,1984,0,98006,47.5599,-122.108,2920,11258
2024059084,20150313T000000,625000,4,2.75,2290,21486,1,0,2,5,7,2290,0,1963,0,98006,47.5515,-122.189,2540,15936
643300040,20150313T000000,719521,4,1.75,1920,9500,1,0,0,4,7,1470,450,1966,0,98006,47.5683,-122.177,1820,10091
2597450120,20150312T000000,965000,5,2.75,3280,12673,1,0,0,4,9,2050,1230,1981,0,98006,47.5504,-122.146,3060,12847
7856410020,20150309T000000,998160,2,2.5,3010,16050,1,0,3,4,9,1260,1750,1976,0,98006,47.5643,-122.16,3010,11612
2600010360,20150309T000000,440000,3,2,1800,10950,1,0,0,4,8,1800,0,1982,0,98006,47.557,-122.163,2400,11300
3343302110,20150306T000000,1.80E+06,3,3,2790,13295,2,1,4,4,10,2370,420,1933,1989,98006,47.5466,-122.197,3140,11949
4139500200,20150305T000000,1.38E+06,6,4.5,5740,10312,2,0,2,3,11,3610,2130,2000,0,98006,47.5533,-122.11,4350,11917
2202500255,20150305T000000,335000,3,2,1210,9926,1,0,0,4,7,1210,0,1954,2015,98006,47.5731,-122.135,1690,9737
2201500680,20150305T000000,501000,3,1.75,1480,8667,1,0,0,5,7,740,740,1954,0,98006,47.5718,-122.136,1600,10644
1999600320,20150304T000000,729000,3,2.5,2480,7428,2,0,0,3,9,2480,0,1990,0,98006,47.5489,-122.185,2600,8322
2911700010,20150303T000000,1.08E+06,3,2.5,2240,21477,2,0,2,3,8,2240,0,1995,0,98006,47.5745,-122.18,2930,21569
3343301920,20150302T000000,1.65E+06,3,2.75,2690,8890,2,1,4,4,10,2690,0,1975,1991,98006,47.5487,-122.197,2940,8890
4139910030,20150302T000000,1.30E+06,5,2.5,4170,33310,2,0,0,4,11,4170,0,1991,0,98006,47.5455,-122.126,4670,37960
6071600370,20150227T000000,500000,4,2.25,2030,8517,1,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824
7856620050,20150225T000000,822000,3,2,2410,13300,2,0,0,3,9,1840,570,1985,0,98006,47.5632,-122.148,2930,10900
4139440730,20150225T000000,728935,4,2.5,2980,10194,2,0,0,3,9,2980,0,1993,0,98006,47.5515,-122.12,2980,10053
7805460030,20150223T000000,615000,3,2.5,2250,10171,2,0,0,3,9,2250,0,1987,0,98006,47.5613,-122.11,2440,13390
7856601040,20150220T000000,745000,4,1.75,1990,8900,1,0,0,4,8,1990,0,1972,0,98006,47.5639,-122.149,2620,8925
7855000325,20150220T000000,1.05E+06,4,3,3080,10757,2,0,3,5,8,3080,0,1961,0,98006,47.5671,-122.159,2810,10757
3864000090,20150219T000000,858000,5,3,3620,12778,1,0,2,5,8,1900,1720,1964,0,98006,47.5512,-122.191,2930,10669
4036100175,20150219T000000,689000,4,2.5,2440,11700,1,0,0,5,8,1480,960,1961,0,98006,47.5606,-122.184,2140,10807
2424059170,20150219T000000,900000,5,6,7120,40806,2,0,4,3,12,5480,1640,2007,0,98006,47.5451,-122.114,3440,36859
8965450190,20150218T000000,295000,3,2.5,1500,3060,2,0,0,3,7,1500,0,1994,0,98006,47.5605,-122.117,2700,7734
2203500570,20150217T000000,437000,4,1.75,1700,10642,1,0,0,4,7,850,850,1954,0,98006,47.5674,-122.142,1610,11200
2592210510,20150217T000000,850000,3,2.5,3120,12406,2,0,2,3,9,1940,1180,1983,0,98006,47.5507,-122.141,3240,13141
1777600210,20150217T000000,590000,4,2.25,2530,10611,1,0,0,5,8,1320,1210,1977,0,98006,47.5698,-122.132,2530,10125
8081020380,20150217T000000,1.20E+06,4,2.5,3350,11688,1,0,2,3,10,1760,1590,1995,0,98006,47.5507,-122.133,4240,10804
8965500900,20150213T000000,725000,3,2.5,2090,9847,2,0,2,3,9,2090,0,1983,0,98006,47.5651,-122.114,2860,11483
6070800050,20150213T000000,710000,3,2.5,2330,9160,2,0,0,3,9,2330,0,1997,0,98006,47.5467,-122.181,2460,9160
2600100370,20150211T000000,723000,4,2,2790,8793,1,0,0,4,8,1640,1150,1977,0,98006,47.5509,-122.16,2400,9286
7856400240,20150211T000000,1.65E+06,4,3,3900,9750,1,0,4,5,10,2520,1380,1972,0,98006,47.5605,-122.158,3410,9450
9323600280,20150211T000000,822600,4,2.5,3010,9600,1,0,2,3,9,1510,1500,1979,0,98006,47.5519,-122.156,2780,10000
4139910250,20150210T000000,1.53E+06,4,3.75,5850,35070,2,0,0,4,12,4410,1440,1990,0,98006,47.5485,-122.124,4830,36200
643300210,20150210T000000,610000,3,1.75,1110,10402,1,0,0,4,7,1110,0,1967,0,98006,47.5676,-122.177,2050,9660
7855800730,20150210T000000,940000,4,2.5,3090,9238,1,0,3,4,8,1680,1410,1967,0,98006,47.5654,-122.163,2690,8500
2205500575,20150209T000000,390000,3,1,1200,10800,1,0,0,4,7,1200,0,1955,0,98006,47.5771,-122.144,1370,9950
3459600330,20150209T000000,925000,3,2.75,3640,10300,1,0,0,4,9,2060,1580,1979,0,98006,47.5612,-122.146,3110,10625
6072000440,20150206T000000,620000,5,3,2540,11422,1,0,0,3,8,1270,1270,1962,2014,98006,47.5459,-122.176,2090,10741
2424059139,20150206T000000,900000,3,3.25,3870,33980,2,0,0,3,10,3150,720,1991,0,98006,47.5589,-122.117,3590,10750
7856000110,20150203T000000,895000,3,2.5,2750,10000,1,0,3,3,8,1650,1100,1967,0,98006,47.5644,-122.153,2490,10000
715010130,20150202T000000,1.75E+06,6,4.25,5860,13928,2,0,3,3,10,4150,1710,2013,0,98006,47.5382,-122.114,5790,13928
4139440100,20150128T000000,810000,3,2.5,2610,8481,2,0,0,3,10,2610,0,1993,0,98006,47.5535,-122.115,3140,10008
6071000310,20150128T000000,622000,4,1.75,3020,10714,1,0,0,5,8,1510,1510,1958,0,98006,47.56,-122.181,2230,14400
6752500090,20150127T000000,1.84E+06,4,3.5,4870,39190,2,0,0,3,12,4870,0,1995,0,98006,47.5447,-122.124,5000,33880
6028000090,20150126T000000,438000,3,2.25,2340,14279,1,0,0,3,8,1340,1000,1965,0,98006,47.5715,-122.124,2340,13600
4139500410,20150126T000000,1.68E+06,6,4.75,5770,16747,2,0,3,3,12,4500,1270,1998,0,98006,47.5512,-122.11,4470,14571
5495200040,20150126T000000,610000,5,3.25,3490,23400,1,0,0,4,8,1890,1600,1957,0,98006,47.5701,-122.124,2660,12400
3224510300,20150126T000000,925000,3,2.75,3280,10558,1,0,2,4,9,2040,1240,1979,0,98006,47.5606,-122.133,3150,9998
6071000265,20150125T000000,550000,3,2.5,2140,10136,1,0,0,3,8,1320,820,1958,0,98006,47.5602,-122.184,1980,11200
2205700470,20150122T000000,650500,5,4.25,3920,11412,2,0,0,3,7,3920,0,1955,2005,98006,47.5766,-122.151,1400,9750
7805450750,20150120T000000,864000,3,2.75,3060,13554,2,0,0,3,10,3060,0,1984,0,98006,47.5609,-122.106,3060,11455
2600010330,20150120T000000,760000,4,2.25,2590,12600,2,0,0,3,9,2590,0,1979,0,98006,47.5566,-122.162,2620,11050
4139910180,20150114T000000,1.48E+06,5,4,4770,31570,2,0,0,3,12,4770,0,1990,0,98006,47.5468,-122.123,4520,32070
4139480350,20150113T000000,1.69E+06,4,4,5000,12941,3,0,2,3,12,5000,0,2002,0,98006,47.55,-122.103,4560,12941
715010530,20150113T000000,1.88E+06,5,3.5,4410,13000,2,0,3,3,10,2920,1490,2014,0,98006,47.5382,-122.111,5790,12969
9323610110,20150112T000000,710000,4,2.5,2870,11304,2,0,0,3,9,2870,0,1980,0,98006,47.5547,-122.154,2690,9940
2024059127,20150109T000000,908950,4,2.75,3090,6200,2,0,0,3,9,3090,0,2014,0,98006,47.5538,-122.189,2890,10108
2024059130,20150109T000000,928950,4,3.75,3280,6000,2,0,0,3,9,3280,0,2014,0,98006,47.554,-122.19,2900,10108
2205500030,20150108T000000,331500,4,1.75,1700,14756,1,0,0,3,7,850,850,1955,0,98006,47.5762,-122.143,1680,10250
2204500480,20150107T000000,551100,3,1,1430,8640,1,0,0,5,7,1430,0,1954,0,98006,47.572,-122.147,1430,9840
2346200030,20150105T000000,802541,5,2.75,2990,6768,2,0,0,3,9,2990,0,2014,0,98006,47.5462,-122.182,2870,6768
5448300150,20150105T000000,550000,3,2.25,1950,26500,1,0,0,4,8,1570,380,1965,0,98006,47.5784,-122.179,2160,12751
2141310490,20150102T000000,625000,3,2.25,1920,8412,1,0,2,3,8,1460,460,1977,0,98006,47.5578,-122.132,2490,8700
6073230230,20141231T000000,425000,3,2.25,1400,6970,2,0,0,3,8,1400,0,1984,0,98006,47.542,-122.184,1800,8140
1777500090,20141229T000000,680000,6,2.5,3180,9375,1,0,0,4,8,1590,1590,1967,0,98006,47.5707,-122.129,2670,9625
5566100205,20141223T000000,515000,3,1.75,1490,12000,1,0,0,4,7,1490,0,1956,0,98006,47.569,-122.175,1630,12000
6705120540,20141222T000000,462370,2,2.25,1860,2670,2,0,0,4,8,1860,0,1986,0,98006,47.5436,-122.187,1860,2531
7856640460,20141218T000000,950000,4,2.75,3800,12200,2,0,3,4,10,3800,0,1986,0,98006,47.5689,-122.156,3710,14796
2600140500,20141216T000000,998000,4,2.25,2910,10189,2,0,0,3,9,2910,0,1988,0,98006,47.5465,-122.155,2780,10125
4139910170,20141216T000000,1.01E+06,5,3.25,4050,35600,2,0,0,3,12,4050,0,1990,0,98006,47.5465,-122.122,4770,33880
3303850330,20141216T000000,1.90E+06,4,3.25,5080,27755,2,0,0,3,11,5080,0,2001,0,98006,47.5423,-122.111,4730,22326
4139450760,20141215T000000,932808,5,4.5,4690,6705,2,0,0,3,10,3450,1240,1995,0,98006,47.5539,-122.108,4070,11505
3303850390,20141212T000000,2.98E+06,5,5.5,7400,18898,2,0,3,3,13,6290,1110,2001,0,98006,47.5431,-122.112,6110,26442
6071200375,20141211T000000,466000,3,1.75,1680,9460,1,0,0,4,7,1680,0,1959,0,98006,47.5525,-122.182,1690,9448
3459900305,20141211T000000,1.11E+06,4,3.25,3520,19354,1,0,2,4,9,2010,1510,1978,0,98006,47.5572,-122.147,2630,19354
4140930110,20141210T000000,828200,4,2.75,3400,7081,2,0,0,3,9,3400,0,2001,0,98006,47.5661,-122.123,3060,7081
